family_id,member_count,query_count,supply_min,supply_max,rating_count_median,rating_count_p75,rating_count_max,fresh_30d,fresh_90d,fresh_180d,developer_count,largest_developer_share,all_query_jaccard
unboxing,52,2,226,243,196.0,1451.75,31276.0,3,14,22,40,0.09615384615384616,0.38461538461538464
surprise,46,2,369,449,990.5,3716.75,25572.0,4,10,14,32,0.08695652173913043,0.5652173913043478
mystery-box,64,2,251,267,1275.5,15755.75,121475.0,7,9,21,53,0.078125,0.125
surprise-box,54,2,233,236,420.5,8720.75,79066.0,5,15,18,41,0.09259259259259259,0.3333333333333333
blind-box,64,2,248,253,2434.0,13987.25,119823.0,7,10,16,56,0.046875,0.125
open-box,76,3,283,312,956.5,3616.25,163207.0,8,19,24,67,0.039473684210526314,0.07894736842105263
what-inside,64,2,302,341,378.0,2208.25,51674.0,4,15,22,51,0.0625,0.125
case-opening,48,3,315,316,6609.0,22454.75,163207.0,1,7,8,44,0.041666666666666664,0.5
pack-opening,99,3,261,451,829.0,10774.5,163207.0,12,26,34,87,0.04040404040404041,0.010101010101010102
loot-box,65,2,267,270,915.0,5623.0,121475.0,6,14,22,58,0.03076923076923077,0.1076923076923077
collection,62,2,453,479,361.5,3881.25,31276.0,9,21,29,46,0.0967741935483871,0.16129032258064516
collect-all,85,3,472,480,1362.0,5259.0,48736.0,12,23,39,64,0.047058823529411764,0.058823529411764705
rarity,89,3,353,476,1872.0,8384.0,163207.0,13,22,32,72,0.0449438202247191,0.033707865168539325
capsule-surprise,94,3,225,250,1671.0,6505.0,95975.0,7,20,27,70,0.05319148936170213,0.02127659574468085
lucky-block,44,2,326,342,1578.0,11607.25,95460.0,10,16,25,34,0.06818181818181818,0.6363636363636364
