set_id,set_version,query_text,probe_run_id,page_index,raw_snapshot_id,source_field_path,total_games_count,missing_reason
mystery-unboxing-collection-sweep-v1--unboxing,1,unboxing,probe:1c3b4f0f67854caca2d06f2401b325ec,0,20260901T062455072363Z-fa4f4219cc,$.totalGamesCount,243,
mystery-unboxing-collection-sweep-v1--unboxing,1,unboxing,probe:1c3b4f0f67854caca2d06f2401b325ec,1,20260901T062455325686Z-b21999dd40,$.totalGamesCount,243,
mystery-unboxing-collection-sweep-v1--unboxing,1,unboxing,probe:1c3b4f0f67854caca2d06f2401b325ec,2,20260901T062455556966Z-1d14277f6c,$.totalGamesCount,243,
mystery-unboxing-collection-sweep-v1--unboxing,1,распаковка,probe:085956cb1753488687ed222caed5b8ca,0,20260901T062455125711Z-01a05bb800,$.totalGamesCount,226,
mystery-unboxing-collection-sweep-v1--unboxing,1,распаковка,probe:085956cb1753488687ed222caed5b8ca,1,20260901T062455355157Z-fb560415fd,$.totalGamesCount,226,
mystery-unboxing-collection-sweep-v1--unboxing,1,распаковка,probe:085956cb1753488687ed222caed5b8ca,2,20260901T062455602562Z-6985aa7c4c,$.totalGamesCount,226,
mystery-unboxing-collection-sweep-v1--surprise,1,surprise,probe:b698d7a3577c4d74a48b23bea452d5e7,0,20260901T062455097193Z-782f73af39,$.totalGamesCount,449,
mystery-unboxing-collection-sweep-v1--surprise,1,surprise,probe:b698d7a3577c4d74a48b23bea452d5e7,1,20260901T062455396223Z-988a8372d2,$.totalGamesCount,449,
mystery-unboxing-collection-sweep-v1--surprise,1,surprise,probe:b698d7a3577c4d74a48b23bea452d5e7,2,20260901T062455713459Z-db1ecb9f45,$.totalGamesCount,449,
mystery-unboxing-collection-sweep-v1--surprise,1,сюрприз,probe:ca59fdaf35114764a7564b0e8072eb14,0,20260901T062455215340Z-d022dac9b4,$.totalGamesCount,369,
mystery-unboxing-collection-sweep-v1--surprise,1,сюрприз,probe:ca59fdaf35114764a7564b0e8072eb14,1,20260901T062455480701Z-f2cd1508d9,$.totalGamesCount,369,
mystery-unboxing-collection-sweep-v1--surprise,1,сюрприз,probe:ca59fdaf35114764a7564b0e8072eb14,2,20260901T062455761261Z-52ae52724d,$.totalGamesCount,369,
mystery-unboxing-collection-sweep-v1--mystery-box,1,mystery box,probe:7e2c90ca637741a48a5e165421860132,0,20260901T062457799869Z-cacddb1ae1,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--mystery-box,1,mystery box,probe:7e2c90ca637741a48a5e165421860132,1,20260901T062458130845Z-6cfd6949c8,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--mystery-box,1,mystery box,probe:7e2c90ca637741a48a5e165421860132,2,20260901T062458409764Z-ea3043337c,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--mystery-box,1,мистери бокс,probe:d144a25e957f4b9c8a697dc3f4649d7f,0,20260901T062457837903Z-504b183746,$.totalGamesCount,251,
mystery-unboxing-collection-sweep-v1--mystery-box,1,мистери бокс,probe:d144a25e957f4b9c8a697dc3f4649d7f,1,20260901T062458112465Z-407413247b,$.totalGamesCount,251,
mystery-unboxing-collection-sweep-v1--mystery-box,1,мистери бокс,probe:d144a25e957f4b9c8a697dc3f4649d7f,2,20260901T062458382730Z-bc67d55db5,$.totalGamesCount,251,
mystery-unboxing-collection-sweep-v1--surprise-box,1,surprise box,probe:9b9a6e3764b54d6b82df91a9b69cfc02,0,20260901T062457868062Z-95a7f1a820,$.totalGamesCount,233,
mystery-unboxing-collection-sweep-v1--surprise-box,1,surprise box,probe:9b9a6e3764b54d6b82df91a9b69cfc02,1,20260901T062458109226Z-e853a2d3fe,$.totalGamesCount,233,
mystery-unboxing-collection-sweep-v1--surprise-box,1,surprise box,probe:9b9a6e3764b54d6b82df91a9b69cfc02,2,20260901T062458371291Z-896300021c,$.totalGamesCount,233,
mystery-unboxing-collection-sweep-v1--surprise-box,1,сюрприз бокс,probe:2b8e67d271d04f268678f0b855d9895b,0,20260901T062457752598Z-89ad05325d,$.totalGamesCount,236,
mystery-unboxing-collection-sweep-v1--surprise-box,1,сюрприз бокс,probe:2b8e67d271d04f268678f0b855d9895b,1,20260901T062458036905Z-5c5e584685,$.totalGamesCount,236,
mystery-unboxing-collection-sweep-v1--surprise-box,1,сюрприз бокс,probe:2b8e67d271d04f268678f0b855d9895b,2,20260901T062458291647Z-c12b1a605e,$.totalGamesCount,236,
mystery-unboxing-collection-sweep-v1--blind-box,1,blind box,probe:e8d34c1673b6470fad9a3c61e642566c,0,20260901T062459150072Z-bdba5c29a4,$.totalGamesCount,253,
mystery-unboxing-collection-sweep-v1--blind-box,1,blind box,probe:e8d34c1673b6470fad9a3c61e642566c,1,20260901T062459385663Z-5b8735e407,$.totalGamesCount,253,
mystery-unboxing-collection-sweep-v1--blind-box,1,blind box,probe:e8d34c1673b6470fad9a3c61e642566c,2,20260901T062459633843Z-9c191ebff9,$.totalGamesCount,253,
mystery-unboxing-collection-sweep-v1--blind-box,1,блайнд бокс,probe:1da39ed8f41240ab889b0d0f00d0e438,0,20260901T062459242237Z-bcce5212bd,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--blind-box,1,блайнд бокс,probe:1da39ed8f41240ab889b0d0f00d0e438,1,20260901T062459533016Z-12ad4f486b,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--blind-box,1,блайнд бокс,probe:1da39ed8f41240ab889b0d0f00d0e438,2,20260901T062459777165Z-43e7c5df8c,$.totalGamesCount,248,
mystery-unboxing-collection-sweep-v1--open-box,1,open box,probe:af901ca928574eb8b94ae15c37065498,0,20260901T062459347094Z-04d6af2e4c,$.totalGamesCount,312,
mystery-unboxing-collection-sweep-v1--open-box,1,open box,probe:af901ca928574eb8b94ae15c37065498,1,20260901T062459602077Z-42d4d6c4c5,$.totalGamesCount,312,
mystery-unboxing-collection-sweep-v1--open-box,1,open box,probe:af901ca928574eb8b94ae15c37065498,2,20260901T062459862589Z-10b0759ffe,$.totalGamesCount,312,
mystery-unboxing-collection-sweep-v1--open-box,1,открой коробку,probe:b01b460345e4478b9021250a116be249,0,20260901T062459199102Z-e6e2842271,$.totalGamesCount,292,
mystery-unboxing-collection-sweep-v1--open-box,1,открой коробку,probe:b01b460345e4478b9021250a116be249,1,20260901T062459437142Z-5a658e8733,$.totalGamesCount,292,
mystery-unboxing-collection-sweep-v1--open-box,1,открой коробку,probe:b01b460345e4478b9021250a116be249,2,20260901T062459709873Z-346f6f1bc2,$.totalGamesCount,292,
mystery-unboxing-collection-sweep-v1--open-box,1,открывай коробки,probe:80d8f501041243d38f27523b601264ab,0,20260901T062500467337Z-dfa1ae0546,$.totalGamesCount,283,
mystery-unboxing-collection-sweep-v1--open-box,1,открывай коробки,probe:80d8f501041243d38f27523b601264ab,1,20260901T062500722632Z-39ba67d618,$.totalGamesCount,283,
mystery-unboxing-collection-sweep-v1--open-box,1,открывай коробки,probe:80d8f501041243d38f27523b601264ab,2,20260901T062500976222Z-ec4e0b1fd5,$.totalGamesCount,283,
mystery-unboxing-collection-sweep-v1--what-inside,1,what's inside,probe:7be944050de549c3ac6e4d563833290b,0,20260901T062500575700Z-6dcc27d99b,$.totalGamesCount,302,
mystery-unboxing-collection-sweep-v1--what-inside,1,what's inside,probe:7be944050de549c3ac6e4d563833290b,1,20260901T062500810165Z-f3c949539d,$.totalGamesCount,302,
mystery-unboxing-collection-sweep-v1--what-inside,1,what's inside,probe:7be944050de549c3ac6e4d563833290b,2,20260901T062501112796Z-d7e20e3c3f,$.totalGamesCount,302,
mystery-unboxing-collection-sweep-v1--what-inside,1,что внутри,probe:fe6011dd249d4f48b9c5819240db98a0,0,20260901T062500631659Z-3b2d1a8dd0,$.totalGamesCount,341,
mystery-unboxing-collection-sweep-v1--what-inside,1,что внутри,probe:fe6011dd249d4f48b9c5819240db98a0,1,20260901T062500868551Z-43613c01b7,$.totalGamesCount,341,
mystery-unboxing-collection-sweep-v1--what-inside,1,что внутри,probe:fe6011dd249d4f48b9c5819240db98a0,2,20260901T062501244951Z-3f11ca6abf,$.totalGamesCount,341,
mystery-unboxing-collection-sweep-v1--case-opening,1,case opening,probe:2aae9a59d120406594f9548ae1c1fd7e,0,20260901T062500691614Z-bd2e4fbd52,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--case-opening,1,case opening,probe:2aae9a59d120406594f9548ae1c1fd7e,1,20260901T062500949209Z-2de0456c4c,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--case-opening,1,case opening,probe:2aae9a59d120406594f9548ae1c1fd7e,2,20260901T062501194451Z-69dd70b492,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--case-opening,1,открытие кейсов,probe:e009a16faabc42db9cfbebc4cf69534a,0,20260901T062501988681Z-8acd4e4b10,$.totalGamesCount,316,
mystery-unboxing-collection-sweep-v1--case-opening,1,открытие кейсов,probe:e009a16faabc42db9cfbebc4cf69534a,1,20260901T062502246847Z-53a39be24c,$.totalGamesCount,316,
mystery-unboxing-collection-sweep-v1--case-opening,1,открытие кейсов,probe:e009a16faabc42db9cfbebc4cf69534a,2,20260901T062502499502Z-7b1148eae2,$.totalGamesCount,316,
mystery-unboxing-collection-sweep-v1--case-opening,1,открывай кейсы,probe:5554f01aa8934b6e9aa6287fab22b588,0,20260901T062501938033Z-5d2fb1ad7e,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--case-opening,1,открывай кейсы,probe:5554f01aa8934b6e9aa6287fab22b588,1,20260901T062502361702Z-8cccaeb5d5,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--case-opening,1,открывай кейсы,probe:5554f01aa8934b6e9aa6287fab22b588,2,20260901T062502605210Z-4d2ed469e4,$.totalGamesCount,315,
mystery-unboxing-collection-sweep-v1--pack-opening,1,pack opening,probe:bca6ffd1965c483da6c029d7be597c58,0,20260901T062502166492Z-d08d49746b,$.totalGamesCount,273,
mystery-unboxing-collection-sweep-v1--pack-opening,1,pack opening,probe:bca6ffd1965c483da6c029d7be597c58,1,20260901T062502435523Z-24fd8518b1,$.totalGamesCount,273,
mystery-unboxing-collection-sweep-v1--pack-opening,1,pack opening,probe:bca6ffd1965c483da6c029d7be597c58,2,20260901T062502683238Z-62c4cba4b3,$.totalGamesCount,273,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открытие паков,probe:b8f59e62232f4548820602d1f3c3a7a7,0,20260901T062502224627Z-7237040787,$.totalGamesCount,261,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открытие паков,probe:b8f59e62232f4548820602d1f3c3a7a7,1,20260901T062502472204Z-71ef2378af,$.totalGamesCount,261,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открытие паков,probe:b8f59e62232f4548820602d1f3c3a7a7,2,20260901T062502725749Z-aaf1ce10dd,$.totalGamesCount,261,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открывай паки,probe:fed4b31311d0407f832d76ea30d07f86,0,20260901T062503358570Z-ef149215c6,$.totalGamesCount,451,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открывай паки,probe:fed4b31311d0407f832d76ea30d07f86,1,20260901T062503712680Z-f754cf239a,$.totalGamesCount,451,
mystery-unboxing-collection-sweep-v1--pack-opening,1,открывай паки,probe:fed4b31311d0407f832d76ea30d07f86,2,20260901T062503963584Z-e52bded268,$.totalGamesCount,451,
mystery-unboxing-collection-sweep-v1--loot-box,1,loot box,probe:8823e39cea2a4713b380fa1f91427571,0,20260901T062503453184Z-086fb69e97,$.totalGamesCount,270,
mystery-unboxing-collection-sweep-v1--loot-box,1,loot box,probe:8823e39cea2a4713b380fa1f91427571,1,20260901T062503683054Z-bd315816be,$.totalGamesCount,270,
mystery-unboxing-collection-sweep-v1--loot-box,1,loot box,probe:8823e39cea2a4713b380fa1f91427571,2,20260901T062503928532Z-cfd6b0b268,$.totalGamesCount,270,
mystery-unboxing-collection-sweep-v1--loot-box,1,лутбокс,probe:2593912ca0a4484ea3ec29359476ef95,0,20260901T062503584235Z-b39c6df00a,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--loot-box,1,лутбокс,probe:2593912ca0a4484ea3ec29359476ef95,1,20260901T062503834532Z-ee79c80f4b,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--loot-box,1,лутбокс,probe:2593912ca0a4484ea3ec29359476ef95,2,20260901T062504094111Z-50fb28c9e9,$.totalGamesCount,267,
mystery-unboxing-collection-sweep-v1--collection,1,collection,probe:0b17b3cb70654896935d15981cf8028b,0,20260901T062503673936Z-14aaf7b9a4,$.totalGamesCount,453,
mystery-unboxing-collection-sweep-v1--collection,1,collection,probe:0b17b3cb70654896935d15981cf8028b,1,20260901T062503940977Z-d75bd4a976,$.totalGamesCount,453,
mystery-unboxing-collection-sweep-v1--collection,1,collection,probe:0b17b3cb70654896935d15981cf8028b,2,20260901T062504251720Z-a2fb0ef6c1,$.totalGamesCount,453,
